url,cluster,change_rate
https://articulo.mercadolibre.cl/MLC-978354412-vestido-para-mascotas-tallas-xs-s-m-l-xl-_JM?attributes=COLOR_SECONDARY_COLOR:QW1hcmlsbG8gWEw=,0,No Change
https://articulo.mercadolibre.cl/MLC-1991827796-organizador-de-joyas-de-madera-para-munecas-112-_JM?attributes=COLOR_SECONDARY_COLOR:M2NteDJjbXgyY20=,0,No Change
"https://articulo.mercadolibre.cl/MLC-1966548124-7-pcs-disfraz-de-malefica-para-ninas-disfraz-de-bruja-diab-_JM?attributes=COLOR_SECONDARY_COLOR:TmVncm8=,SIZE:Uw==",0,No Change
https://articulo.mercadolibre.cl/MLC-1117692209-disfraz-de-monja-sexy-para-mujer-disfraz-para-adulto-_JM,0,No Change
"https://articulo.mercadolibre.cl/MLC-1041970462-botas-de-seguridad-de-trabajo-ligeras-y-transpirables-_JM?attributes=COLOR_SECONDARY_COLOR:TmVncm8=,SIZE:RVU0NT1CUjQz",0,No Change
https://articulo.mercadolibre.cl/MLC-1362333151-funda-de-teclado-para-lenovo-tab-m10-fhd-plus-103-tb-x606f-_JM?attributes=COLOR_SECONDARY_COLOR:Um9zYQ==,0,No Change
https://articulo.mercadolibre.cl/MLC-1420511815-divisor-de-manguera-de-aire-resistencia-a-la-corrosion-des-_JM,0,No Change
https://articulo.mercadolibre.cl/MLC-1902673522-zapatillas-senderismo-transpirables-camuflaje-for-hombres-_JM,0,No Change
"https://articulo.mercadolibre.cl/MLC-1191131940-funda-de-telefono-de-silicona-liquida-original-para-samsung-_JM?attributes=PATTERN_NAME:Rm9yIFNhbXN1bmcgUzIx,COLOR_SECONDARY_COLOR:TmVncm8=",0,No Change
"https://articulo.mercadolibre.cl/MLC-1974932358-funda-rotacion-360-para-samsung-galaxy-s22-ultra-s21-plus-s2-_JM?attributes=PATTERN_NAME:UzIy,COLOR_SECONDARY_COLOR:Um9zYQ==",0,No Change
"https://articulo.mercadolibre.cl/MLC-1726389544-funda-para-sony-xperia-1-5-10-series-tener-vidrio-membrana-_JM?attributes=COLOR_SECONDARY_COLOR:QXp1bA==,PATTERN_NAME:U29ueSBYcGVyaWEgMSBJVg==",0,No Change
"https://articulo.mercadolibre.cl/MLC-1237102945-tapa-de-cubierta-for-el-espejo-transparente-protector-de-_JM?attributes=COLOR_SECONDARY_COLOR:UHJhdGE=,PATTERN_NAME:U2Ftc3VuZyBHYWxheHkgUzlQbHVz",0,No Change
https://articulo.mercadolibre.cl/MLC-1419807095-ninos-adolescentes-y-adultos-guantes-de-kick-boxing-6-14-oz-_JM,0,No Change
"https://articulo.mercadolibre.cl/MLC-1870891526-24-g-drift-rc-car-4wd-rc-drift-coche-de-control-r-_JM?attributes=CHARACTER:TE9UVVMtMUJhdHRlcnk=,COLOR_SECONDARY_COLOR:Qk1XLTFCYXR0ZXJ5",0,No Change
"https://articulo.mercadolibre.cl/MLC-1754775426-disco-u-de-dibujos-animados-disco-u-de-garra-de-gato-_JM?attributes=COLOR_SECONDARY_COLOR:RG9yYWRv,PATTERN_NAME:RGlub3NhdXIgQ2F0IENsYXc=",0,No Change
https://articulo.mercadolibre.cl/MLC-1424917477-peluche-lalafanfan-kawaii-mimi-yellow-duck-_JM,0,No Change
https://articulo.mercadolibre.cl/MLC-1951892194-reloj-inteligente-smartband-f57l-con-medidor-de-glucosa-_JM,0,No Change
https://articulo.mercadolibre.cl/MLC-1902673522-zapatillas-senderismo-transpirables-camuflaje-for-hombres-_JM,0,No Change
https://articulo.mercadolibre.cl/MLC-1983151758-rele-spdt-for-motor-de-vehiculo-camion-12-v-12-80-a-5-_JM,0,No Change
https://articulo.mercadolibre.cl/MLC-1413660129-comedero-para-pajaros-de-gran-capacidad-cuenco-de-_JM,0,No Change
https://articulo.mercadolibre.cl/MLC-1959079688-guantes-de-piel-de-cabra-para-hombre-seccion-delgada-de-_JM,0,No Change
https://articulo.mercadolibre.cl/MLC-1951892194-reloj-inteligente-smartband-f57l-con-medidor-de-glucosa-_JM,0,No Change
https://articulo.mercadolibre.cl/MLC-1902673522-zapatillas-senderismo-transpirables-camuflaje-for-hombres-_JM,0,No Change
"https://articulo.mercadolibre.cl/MLC-1328223443-disfraz-capa-potter-4-casas-hogwarts-avenclaw-varita-magica-_JM?attributes=COLOR_SECONDARY_COLOR:R3JlZW4oU2x5dGhlcmluKQ==,SIZE:MTI1",0,No Change
https://articulo.mercadolibre.cl/MLC-1421475113-gryffindor-conjunto-uniforme-nina-hermione-disfraz-capa-fal-_JM,0,No Change
https://articulo.mercadolibre.cl/MLC-1982994446-mini-drone-4k-hd-camara-de-tres-vias-infrarrojo-obstaculo-_JM?attributes=COLOR_SECONDARY_COLOR:QmxhY2sgNEsgMkIgQmFnXzE=,0,No Change
"https://articulo.mercadolibre.cl/MLC-1912618470-disfraz-de-astronauta-de-halloween-para-hombre-trajes-de-_JM?attributes=SIZE:TA==,COLOR_SECONDARY_COLOR:TmFyYW5qYQ==",0,No Change
https://articulo.mercadolibre.cl/MLC-1919602582-pulsera-antiestatica-ajustable-esd-strap-clip-de-18-m-_JM?attributes=COLOR_SECONDARY_COLOR:Qmx1ZS9XaXJlbGVzcw==,0,No Change
https://articulo.mercadolibre.cl/MLC-1245002140-coloracion-inoa-loreal-professionnel-varios-tonos-_JM?attributes=HAIR_TONE:Ni4z,0,No Change
https://articulo.mercadolibre.cl/MLC-1386598658-sofa-plegable-for-ninos-pequenos-sillon-funda-lavable-a2-_JM,0,No Change
https://articulo.mercadolibre.cl/MLC-1902673522-zapatillas-senderismo-transpirables-camuflaje-for-hombres-_JM,0,No Change
"https://articulo.mercadolibre.cl/MLC-1110236604-tutus-adultos-ninas-_JM?attributes=SIZE:T25lLXNpemUtTknDkUE=,COLOR_SECONDARY_COLOR:VmVyZGU=",0,No Change
"https://articulo.mercadolibre.cl/MLC-586480331-carcasas-personalizada-my-hero-academy-midoriyatodoroki-_JM?attributes=COLOR_SECONDARY_COLOR:RGlzZcOxbyA2,PATTERN_NAME:QTAx",0,No Change
https://articulo.mercadolibre.cl/MLC-1898888988-cuadernos-libretas-agenda-cuadernos-y-papel-de-escribir-r-_JM?attributes=COLOR_SECONDARY_COLOR:Z3JleQ==,0,No Change
